Codice comune,Comune,Totale_2026,Totale_2019,differenza,%
80001,Africo,2670,2987,-317,"-10,61"
80002,Agnana Calabra,446,512,-66,"-12,89"
80003,Anoia,1995,2128,-133,"-6,25"
80004,Antonimina,1152,1280,-128,"-10,00"
80005,Ardore,4906,4900,6,"0,12"
80006,Bagaladi,916,977,-61,"-6,24"
80007,Bagnara Calabra,9102,9817,-715,"-7,28"
80008,Benestare,2489,2539,-50,"-1,97"
80009,Bianco,4298,4142,156,"3,77"
80010,Bivongi,1131,1281,-150,"-11,71"
80011,Bova,460,417,43,"10,31"
80012,Bovalino,8743,8788,-45,"-0,51"
80013,Bova Marina,3925,4153,-228,"-5,49"
80014,Brancaleone,3124,3478,-354,"-10,18"
80015,Bruzzano Zeffirio,1010,1092,-82,"-7,51"
80016,Calanna,735,857,-122,"-14,24"
80017,Camini,793,753,40,"5,31"
80018,Campo Calabro,4512,4408,104,"2,36"
80019,Candidoni,407,406,1,"0,25"
80020,Canolo,684,695,-11,"-1,58"
80021,Caraffa del Bianco,429,488,-59,"-12,09"
80022,Cardeto,1237,1501,-264,"-17,59"
80023,Careri,2049,2227,-178,"-7,99"
80024,Casignana,680,733,-53,"-7,23"
80025,Caulonia,6649,6957,-308,"-4,43"
80026,Ciminà,510,558,-48,"-8,60"
80027,Cinquefrondi,6235,6534,-299,"-4,58"
80028,Cittanova,9580,10089,-509,"-5,05"
80029,Condofuri,4491,4919,-428,"-8,70"
80030,Cosoleto,728,848,-120,"-14,15"
80031,Delianuova,3052,3280,-228,"-6,95"
80032,Feroleto della Chiesa,1489,1617,-128,"-7,92"
80033,Ferruzzano,685,731,-46,"-6,29"
80034,Fiumara,789,896,-107,"-11,94"
80035,Galatro,1391,1615,-224,"-13,87"
80036,Gerace,2275,2549,-274,"-10,75"
80037,Giffone,1553,1766,-213,"-12,06"
80038,Gioia Tauro,19324,19521,-197,"-1,01"
80039,Gioiosa Ionica,6834,6984,-150,"-2,15"
80040,Grotteria,2815,3003,-188,"-6,26"
80041,Laganadi,321,407,-86,"-21,13"
80042,Laureana di Borrello,4557,4906,-349,"-7,11"
80043,Locri,11856,12273,-417,"-3,40"
80044,Mammola,2335,2697,-362,"-13,42"
80045,Marina di Gioiosa Ionica,6303,6362,-59,"-0,93"
80046,Maropati,1291,1443,-152,"-10,53"
80047,Martone,476,504,-28,"-5,56"
80048,Melicuccà,780,893,-113,"-12,65"
80049,Melicucco,4842,4837,5,"0,10"
80050,Melito di Porto Salvo,10314,11017,-703,"-6,38"
80051,Molochio,2122,2419,-297,"-12,28"
80052,Monasterace,3234,3530,-296,"-8,39"
80053,Montebello Jonico,5451,6001,-550,"-9,17"
80054,Motta San Giovanni,5377,5862,-485,"-8,27"
80055,Oppido Mamertina,4674,5147,-473,"-9,19"
80056,Palizzi,1826,2279,-453,"-19,88"
80057,Palmi,17983,18320,-337,"-1,84"
80058,Pazzano,497,511,-14,"-2,74"
80059,Placanica,977,1118,-141,"-12,61"
80060,Platì,3646,3774,-128,"-3,39"
80061,Polistena,9822,9958,-136,"-1,37"
80062,Portigliola,994,1148,-154,"-13,41"
80063,Reggio di Calabria,167925,176299,-8374,"-4,75"
80064,Riace,1796,2133,-337,"-15,80"
80065,Rizziconi,7603,7705,-102,"-1,32"
80066,Roccaforte del Greco,291,422,-131,"-31,04"
80067,Roccella Ionica,6119,6324,-205,"-3,24"
80068,Roghudi,897,983,-86,"-8,75"
80069,Rosarno,14528,14164,364,"2,57"
80070,Samo,679,761,-82,"-10,78"
80071,San Giorgio Morgeto,2945,3029,-84,"-2,77"
80072,San Giovanni di Gerace,394,444,-50,"-11,26"
80073,San Lorenzo,2068,2467,-399,"-16,17"
80074,San Luca,3297,3637,-340,"-9,35"
80075,San Pietro di Caridà,923,1104,-181,"-16,39"
80076,San Procopio,469,522,-53,"-10,15"
80077,San Roberto,1479,1628,-149,"-9,15"
80078,Santa Cristina d'Aspromonte,707,853,-146,"-17,12"
80079,Sant'Agata del Bianco,524,591,-67,"-11,34"
80080,Sant'Alessio in Aspromonte,299,320,-21,"-6,56"
80081,Sant'Eufemia d'Aspromonte,3625,3986,-361,"-9,06"
80082,Sant'Ilario dello Ionio,1308,1386,-78,"-5,63"
80083,Santo Stefano in Aspromonte,1001,1241,-240,"-19,34"
80084,Scido,797,883,-86,"-9,74"
80085,Scilla,4405,4811,-406,"-8,44"
80086,Seminara,2473,2633,-160,"-6,08"
80087,Serrata,788,803,-15,"-1,87"
80088,Siderno,17619,17343,276,"1,59"
80089,Sinopoli,1798,1992,-194,"-9,74"
80090,Staiti,161,219,-58,"-26,48"
80091,Stignano,1143,1310,-167,"-12,75"
80092,Stilo,2306,2513,-207,"-8,24"
80093,Taurianova,14643,15253,-610,"-4,00"
80094,Terranova Sappo Minulio,402,501,-99,"-19,76"
80095,Varapodio,2062,2066,-4,"-0,19"
80096,Villa San Giovanni,12676,13336,-660,"-4,95"
80097,San Ferdinando,4469,4993,-524,"-10,49"
